shape;size;tool;time
aggregaterating;1;sparql;6.716
aggregaterating;1;pyshacl;0.00126
offer;1;sparql;19.133
offer;1;pyshacl;27.867
openinghoursspecification;1;sparql;40.390
openinghoursspecification;1;pyshacl;5.864
postaladdress;1;sparql;3.057
postaladdress;1;pyshacl;37.012
aggregaterating;1.5;sparql;11.611
aggregaterating;1.5;pyshacl;0.00126
offer;1.5;sparql;27.733
offer;1.5;pyshacl;26.948
openinghoursspecification;1.5;sparql;42.527
openinghoursspecification;1.5;pyshacl;6.1996
postaladdress;1.5;sparql;4.821
postaladdress;1.5;pyshacl;274.173
aggregaterating;2;sparql;19.006
aggregaterating;2;pyshacl;0.00129
offer;2;sparql;36.426
offer;2;pyshacl;27.754
openinghoursspecification;2;sparql;53.358
openinghoursspecification;2;pyshacl;6.356
postaladdress;2;sparql;6.907
postaladdress;2;pyshacl;462.984
aggregaterating;2.5;sparql;18.453
aggregaterating;2.5;pyshacl;0.00125
offer;2.5;sparql;45.003
offer;2.5;pyshacl;26.059
openinghoursspecification;2.5;sparql;55.039
openinghoursspecification;2.5;pyshacl;6.165
postaladdress;2.5;sparql;8.345
postaladdress;2.5;pyshacl;664.399
aggregaterating;3;sparql;24.184
aggregaterating;3;pyshacl;0.00127
offer;3;sparql;60.289
offer;3;pyshacl;27.730
openinghoursspecification;3;sparql;61.559
openinghoursspecification;3;pyshacl;8.010
postaladdress;3;sparql;10.541
postaladdress;3;pyshacl;857.713
aggregaterating;3.5;sparql;25.572
aggregaterating;3.5;pyshacl;0.00125
offer;3.5;sparql;68.841
offer;3.5;pyshacl;28.579
openinghoursspecification;3.5;sparql;61.922
openinghoursspecification;3.5;pyshacl;6.649
postaladdress;3.5;sparql;12.627
postaladdress;3.5;pyshacl;1079.484
aggregaterating;4;sparql;29.418
aggregaterating;4;pyshacl;0.00125
offer;4;sparql;74.356
offer;4;pyshacl;25.418
openinghoursspecification;4;sparql;63.840
openinghoursspecification;4;pyshacl;6.418
postaladdress;4;sparql;14.367
postaladdress;4;pyshacl;1264.640
aggregaterating;4.5;sparql;32.732
aggregaterating;4.5;pyshacl;0.00129
offer;4.5;sparql;85.224
offer;4.5;pyshacl;29.086
openinghoursspecification;4.5;sparql;71.821
openinghoursspecification;4.5;pyshacl;6.781
postaladdress;4.5;sparql;15.574
postaladdress;4.5;pyshacl;1442.354
aggregaterating;5;sparql;40.585
aggregaterating;5;pyshacl;0.00139
offer;5;sparql;98.748
offer;5;pyshacl;26.259
openinghoursspecification;5;sparql;84.649
openinghoursspecification;5;pyshacl;6.572
postaladdress;5;sparql;18.390
postaladdress;5;pyshacl;1643.860
