tool;size;time
graphdb;1312507;5.904
jena;1312507;5.419
graphdb;2905192;53.785
jena;2905192;42.133
graphdb;4400017;168.434
jena;4400017;139.968
graphdb;5704195;373.689
jena;5704195;274.467
graphdb;6834438;679.091
jena;6834438;530.409
graphdb;7868021;919.493
jena;7868021;791.312
graphdb;8847250;1582.706
jena;8847250;1160.276
graphdb;9783095;2193.381
jena;9783095;1805.796
graphdb;10665616;2943.137
jena;10665616;2274.754
graphdb;11475135;3486.362
jena;11475135;2829.735
graphdb;12213712;4314.550
jena;12213712;3463.616
graphdb;12879055;5328.716
jena;12879055;4261.382
